 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
53,381747,1,1,58,193,58,58,58,0,193,193,193,0,657.5035298,5.239071951,381747,0,381747,381747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2.619535975,2.619535975,58,193,103,77.94228634,6075,0,0,0,0,0,0,0,0,1,154.5,58,193,20,0,0,0,0,0,0,1,58,1,193,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,230612,1,1,63,153,63,63,63,0,153,153,153,0,936.6381628,8.672575581,230612,0,230612,230612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4.336287791,4.336287791,63,153,93,51.96152423,2700,0,0,0,0,0,0,0,0,1,139.5,63,153,20,0,0,0,0,0,0,1,63,1,153,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,116845123,15,12,1113,7783,317,0,74.2,94.48900163,3207,0,648.5833333,975.2392208,76.13497056,0.231075113,4494043.192,15800000,58200000,18,117000000,8346080.214,21100000,58200000,18,117000000,10600000,23500000,58200000,56,0,0,0,0,312,252,0.128375063,0.10270005,0,3207,317.7142857,690.9768639,477449.0265,0,0,0,1,0,0,0,0,0,329.4814815,74.2,648.5833333,312,0,0,0,0,0,0,15,1113,12,7783,8192,1047,14,20,234925,222030.1151,391924,77926,58100000,76277.72981,58200000,58100000,BENIGN
53,62090,2,2,70,350,35,35,35,0,175,175,175,0,6764.374295,64.42261234,20696.66667,35843.34812,62085,1,1,1,0,1,1,4,4,0,4,4,0,0,0,0,40,40,32.21130617,32.21130617,35,175,91,76.68115805,5880,0,0,0,0,0,0,0,0,1,113.75,35,175,40,0,0,0,0,0,0,2,70,2,350,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,169,2,2,102,224,51,51,51,0,112,112,112,0,1928994.083,23668.63905,56.33333333,91.51138363,162,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,40,11834.31953,11834.31953,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,60657205,13,12,1157,3929,784,0,89,217.0122884,1483,2,327.4166667,587.6151273,83.84824194,0.412152192,2527383.542,4402112.662,10000000,57,60700000,5054767.083,5229087.409,10100000,478,60600000,5506635.545,5232971.311,10100000,250,0,0,0,0,272,244,0.21431914,0.197833052,0,1483,195.6153846,436.2491102,190313.2862,0,0,0,1,0,0,0,0,0,203.44,89,327.4166667,272,0,0,0,0,0,0,13,1157,12,3929,8192,31360,12,20,118262.6667,84559.05472,290868,83623,9991224.667,45536.45925,10000000,9898283,BENIGN
443,61466432,25,35,978,36884,217,0,39.12,65.16410055,1460,0,1053.828571,616.1592845,615.9784905,0.976142555,1041803.932,7650197.425,58800000,1,61500000,2561101.333,12000000,58800000,4,61200000,1801418.529,10100000,58800000,1,0,0,0,0,512,712,0.406726065,0.569416491,0,1460,620.6885246,688.2011949,473620.8847,0,0,0,1,0,0,0,0,1,631.0333333,39.12,1053.828571,512,0,0,0,0,0,0,25,978,35,36884,8192,32,24,20,2479640,0,2479640,2479640,58800000,0,58800000,58800000,BENIGN
80,79,1,1,0,0,0,0,0,0,0,0,0,0,0,25316.4557,79,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12658.22785,12658.22785,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,237,236,0,32,0,0,0,0,0,0,0,0,Web Attack Brute Force
1044,49,1,2,6,12,6,6,6,0,6,6,6,0,367346.9388,61224.4898,24.5,33.23401872,48,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,20,40,20408.16327,40816.32653,6,6,6,0,0,0,0,0,0,1,1,0,0,2,8,6,6,20,0,0,0,0,0,0,1,6,2,12,2051,254,0,20,0,0,0,0,0,0,0,0,BENIGN
53,48718,2,2,72,194,36,36,36,0,97,97,97,0,5459.994253,82.10517673,16239.33333,28123.02029,48713,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,40,64,41.05258837,41.05258837,36,97,60.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,75.5,36,97,40,0,0,0,0,0,0,2,72,2,194,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,790,2,2,74,106,37,37,37,0,53,53,53,0,227848.1013,5063.291139,263.3333333,450.0448126,783,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,2531.64557,2531.64557,37,53,43.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,54.25,37,53,64,0,0,0,0,0,0,2,74,2,106,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,206,2,2,90,164,45,45,45,0,82,82,82,0,1233009.709,19417.47573,68.66666667,34.93326972,109,48,48,48,0,48,48,49,49,0,49,49,0,0,0,0,40,40,9708.737864,9708.737864,45,82,59.8,20.26573463,410.7,0,0,0,0,0,0,0,0,1,74.75,45,82,40,0,0,0,0,0,0,2,90,2,164,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,5000587,3,1,0,0,0,0,0,0,0,0,0,0,0,0.799906091,1666862.333,2886486.637,4999890,160,5000587,2500293.5,3534963.271,4999890,697,0,0,0,0,0,0,0,0,0,104,40,0.599929568,0.199976523,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack Brute Force
88,514,2,2,360,358,180,180,180,0,179,179,179,0,1396887.16,7782.101167,171.3333333,211.8875488,416,49,49,49,0,49,49,49,49,0,49,49,0,0,0,0,40,40,3891.050584,3891.050584,179,180,179.6,0.547722558,0.3,0,0,0,0,0,0,0,0,1,224.5,180,179,40,0,0,0,0,0,0,2,360,2,358,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
49531,85,1,1,6,6,6,6,6,0,6,6,6,0,141176.4706,23529.41176,85,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11764.70588,11764.70588,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,323,256,0,20,0,0,0,0,0,0,0,0,BENIGN
53,23645,2,2,112,276,56,56,56,0,138,138,138,0,16409.38888,169.1689575,7881.666667,13645.38495,23638,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,84.58447875,84.58447875,56,138,88.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,111,56,138,64,0,0,0,0,0,0,2,112,2,276,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
80,5400145,3,1,0,0,0,0,0,0,0,0,0,0,0,0.740720851,1800048.333,3117166.364,5399442,101,5400145,2700072.5,3817484.957,5399442,703,0,0,0,0,0,0,0,0,0,104,40,0.555540638,0.185180213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack XSS
49248,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,61496,2,2,76,236,38,38,38,0,118,118,118,0,5073.500715,65.04488097,20498.66667,35498.66998,61489,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,32.52244048,32.52244048,38,118,70,43.8178046,1920,0,0,0,0,0,0,0,0,1,87.5,38,118,40,0,0,0,0,0,0,2,76,2,236,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,62953759,7,7,822,4347,421,0,117.4285714,160.3889617,1460,0,621,645.1955776,82.10788493,0.22238545,4842596.846,17400000,62700000,41,292838,48806.33333,41056.37712,104757,313,62900000,10500000,25600000,62700000,48,0,0,0,0,152,152,0.111192725,0.111192725,0,1460,344.6,511.7747551,261913.4,0,0,0,1,0,0,0,0,1,369.2142857,117.4285714,621,152,0,0,0,0,0,0,7,822,7,4347,8192,0,6,20,292838,0,292838,292838,62700000,0,62700000,62700000,BENIGN
49662,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,5304,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,9659747,4,4,443,2064,431,0,110.75,213.5187345,2052,0,516,1024.003906,259.5306068,0.82817904,1379963.857,3625023.207,9600711,80,59036,19678.66667,7192.697292,24363,11397,9636551,3212183.667,5532723.627,9600793,1032,0,0,0,0,92,92,0.41408952,0.41408952,0,2052,278.5555556,679.9145371,462283.7778,0,0,0,1,0,0,0,0,1,313.375,110.75,516,92,0,0,0,0,0,0,4,443,4,2064,8192,946,3,20,0,0,0,0,0,0,0,0,BENIGN
49829,8526,3,1,50,6,38,6,16.66666667,18.47520861,6,6,6,0,6568.144499,469.1531785,2842,4844.728166,8436,3,8526,4263,6024.549776,8523,3,0,0,0,0,0,0,0,0,0,60,20,351.8648839,117.2882946,6,38,12.4,14.31083506,204.8,0,0,0,0,1,0,0,0,0,15.5,16.66666667,6,60,0,0,0,0,0,0,3,50,1,6,351,0,2,20,0,0,0,0,0,0,0,0,BENIGN
80,5636625,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.128933537,0.709644512,1878875,3233955.423,5613101,151,5636625,2818312.5,3952427.801,5613101,23524,0,0,0,0,0,0,0,0,0,72,32,0.532233384,0.177411128,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3,4,0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0,0,0,0,0,0,0,0,BENIGN
53,162,2,2,72,136,36,36,36,0,68,68,68,0,1283950.617,24691.35802,54,54.24942396,111,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,40,40,12345.67901,12345.67901,36,68,48.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,61,36,68,40,0,0,0,0,0,0,2,72,2,136,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,3527679,2,2,100,301,50,50,50,0,191,110,150.5,57.27564928,113.6724742,1.133890017,1175893,1952850.953,3430851,48016,3479663,3479663,0,3479663,3479663,3478867,3478867,0,3478867,3478867,0,0,0,0,52,64,0.566945008,0.566945008,50,191,90.2,62.04997985,3850.2,0,0,0,0,0,0,0,0,1,112.75,50,150.5,52,0,0,0,0,0,0,2,100,2,301,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,23391,1,1,57,142,57,57,57,0,142,142,142,0,8507.545637,85.50297123,23391,0,23391,23391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,42.75148561,42.75148561,57,142,85.33333333,49.07477288,2408.333333,0,0,0,0,0,0,0,0,1,128,57,142,32,0,0,0,0,0,0,1,57,1,142,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5562297,3,1,0,0,0,0,0,0,0,0,0,0,0,0.719127368,1854099,3210624.659,5561409,94,5562297,2781148.5,3931882.106,5561409,888,0,0,0,0,0,0,0,0,0,104,40,0.539345526,0.179781842,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack Brute Force
88,89,1,4,6,24,6,6,6,0,6,6,6,0,337078.6517,56179.77528,22.25,32.71467561,70,1,0,0,0,0,0,72,24,39.83716857,70,1,0,0,0,0,20,80,11235.95506,44943.82022,6,6,6,0,0,0,0,0,0,1,1,0,0,4,7.2,6,6,20,0,0,0,0,0,0,1,6,4,24,256,0,0,20,0,0,0,0,0,0,0,0,BENIGN
59145,3,2,0,37,0,31,6,18.5,17.67766953,0,0,0,0,12300000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,40,0,666666.6667,0,6,31,22.66666667,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,34,18.5,0,40,0,0,0,0,0,0,2,37,0,0,30016,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,5446674,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.203179408,0.734393136,1815558,3124319.328,5423186,64,5446674,2723337,3818163.072,5423186,23488,0,0,0,0,0,0,0,0,0,72,32,0.550794852,0.183598284,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3,4,0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0,0,0,0,0,0,0,0,BENIGN
1108,4,3,0,43,0,31,6,14.33333333,14.43375673,0,0,0,0,10800000,750000,2,1.414213562,3,1,4,2,1.414213562,3,1,0,0,0,0,0,0,0,0,0,60,0,750000,0,6,31,12.25,12.5,156.25,0,0,0,0,1,0,0,0,0,16.33333333,14.33333333,0,60,0,0,0,0,0,0,3,43,0,0,127,-1,2,20,0,0,0,0,0,0,0,0,BENIGN
53,24173,2,2,68,182,34,34,34,0,91,91,91,0,10342.11724,165.4738758,8057.666667,13951.95801,24168,1,1,1,0,1,1,4,4,0,4,4,0,0,0,0,80,80,82.73693791,82.73693791,34,91,56.8,31.22018578,974.7,0,0,0,0,0,0,0,0,1,71,34,91,80,0,0,0,0,0,0,2,68,2,182,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
443,60509614,14,11,958,997,674,0,68.42857143,185.1426536,821,0,90.63636364,246.1021222,32.30891541,0.413157486,2521233.917,4389747.628,10000000,49,60500000,4654585.692,5183828.18,10100000,153,60400000,6041289.8,5163480.451,10100000,697,0,0,0,0,456,360,0.231368192,0.181789294,0,821,75.19230769,205.9312544,42407.68154,0,0,0,1,0,0,0,0,0,78.2,68.42857143,90.63636364,456,0,0,0,0,0,0,14,958,11,997,29200,124,3,32,119179.8333,86985.90685,296739,83550,9963606.5,116376.6187,10000000,9732336,BENIGN
53,46361,2,2,80,206,40,40,40,0,103,103,103,0,6168.978236,86.27941589,15453.66667,26760.47366,46354,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,40,40,43.13970794,43.13970794,40,103,65.2,34.50652112,1190.7,0,0,0,0,0,0,0,0,1,81.5,40,103,40,0,0,0,0,0,0,2,80,2,206,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,141,2,2,64,96,32,32,32,0,48,48,48,0,1134751.773,28368.79433,47,76.21023553,135,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,14184.39716,14184.39716,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,205,2,2,64,158,32,32,32,0,79,79,79,0,1082926.829,19512.19512,68.33333333,83.53043358,163,5,37,37,0,37,37,5,5,0,5,5,0,0,0,0,64,64,9756.097561,9756.097561,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
80,5886004,3,1,0,0,0,0,0,0,0,0,0,0,0,0.679578199,1962001.333,3397529.101,5885130,132,5886004,2943002,4160797.32,5885130,874,0,0,0,0,0,0,0,0,0,104,40,0.50968365,0.16989455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack Brute Force
53,216,2,2,68,428,34,34,34,0,214,214,214,0,2296296.296,18518.51852,72,117.7794549,208,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,40,40,9259.259259,9259.259259,34,214,106,98.59006035,9720,0,0,0,0,0,0,0,0,1,132.5,34,214,40,0,0,0,0,0,0,2,68,2,428,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,5589674,3,1,0,0,0,0,0,0,0,0,0,0,0,0.715605239,1863224.667,3226427.307,5588782,154,5589674,2794837,3951234.912,5588782,892,0,0,0,0,0,0,0,0,0,104,40,0.536703929,0.17890131,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack Brute Force
80,60148364,9,9,563,268,563,0,62.55555556,187.6666667,262,0,29.77777778,87.10593806,13.81583712,0.29926001,3538139.059,4917359.416,10000000,1,50200000,6277129,5184579.046,10000000,120,60100000,7515629.625,4631199.408,10000000,1974,0,0,0,0,296,284,0.149630005,0.149630005,0,563,43.73684211,139.3045593,19405.76023,0,0,0,1,0,0,0,0,1,46.16666667,62.55555556,29.77777778,296,0,0,0,0,0,0,9,563,9,268,29200,4943,1,32,27344.33333,10407.10658,48586,22982,9997383,45394.19037,10000000,9908168,BENIGN
443,117949764,6,4,318,320,208,6,53,78.42193571,125,46,80,40.27406113,5.409082463,0.084781857,13100000,25900000,58800000,80,118000000,23600000,32100000,58800000,95752,118000000,39300000,34000000,58900000,381,1,0,0,0,120,80,0.050869114,0.033912743,6,208,76.90909091,75.012605,5626.890909,0,1,0,0,1,0,0,0,0,84.6,53,80,120,0,0,0,0,0,0,6,318,4,320,252,131,5,20,118017,31487.46497,140282,95752,58800000,15759.28883,58800000,58800000,BENIGN
80,5272676,3,1,0,0,0,0,0,0,0,0,0,0,0,0.758628067,1757558.667,3043441.343,5271822,72,5272676,2636338,3727137.216,5271822,854,0,0,0,0,0,0,0,0,0,104,40,0.56897105,0.189657017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack XSS
